"","dv","method","OR","lower","upper","p","star","est","se","zeta1","zeta1_se","zeta2","zeta2_se","zeta3","zeta3_se","zeta4","zeta4_se","zeta5","zeta5_se","zeta6","zeta6_se","zeta7","zeta7_se"
"1","MOS_1","logistic",1.89980343171272,0.92360997065433,3.90776755754429,0.0793459056124055,"",0.641750423827045,0.367974021793863,-1.43677413674176,0.318995189647252,-0.291393509445964,0.269795332062355,1.29145959051248,0.297836613505941,2.63104119550825,0.405939402548226,NA,NA,NA,NA,NA,NA
"2","MOS_2","logistic",10.2559934502094,4.37604371820602,24.0366432385323,8.77311630460612e-09,"***",2.32786226154798,0.43455758001023,-1.955764735446,0.407761650532876,-0.436053318690882,0.277410832724171,0.653040649566903,0.28506479141249,1.56372426681654,0.329996002897015,NA,NA,NA,NA,NA,NA
"3","MOS_3","logistic",11.6576766441139,4.86965909609651,27.9077902696838,2.34436615081098e-09,"***",2.45596490241538,0.445386229266577,-0.937565507290207,0.30142636253987,-0.0817791638991845,0.272956927047733,0.65661131146148,0.287304877962897,1.47616530935553,0.327476899109746,NA,NA,NA,NA,NA,NA
"4","MOS_4","logistic",9.71097204313241,4.25391915823492,22.1684932211144,8.6645925288404e-09,"***",2.27325638472149,0.421138183324151,0.188705835879468,0.276656505704111,0.806850258552401,0.291259776602004,1.90660457954783,0.345772549882729,2.26752191710059,0.36584870003142,NA,NA,NA,NA,NA,NA
"5","MOS_5","logistic",0.264754716384231,0.125569356779723,0.558217877715635,0.000347621305079826,"***",-1.32895148017684,0.380591457345911,-2.25501806437636,0.354986786992532,-1.13414993596328,0.29411462742113,0.153685438255957,0.271282058199806,1.81332979540473,0.373133755177973,NA,NA,NA,NA,NA,NA
"6","MOS_6","logistic",0.23065448755291,0.103342669363432,0.514806642367621,0.000205906263315931,"***",-1.46683441305264,0.409635339656329,-0.669365832729316,0.276143424884352,0.0462584459237195,0.265600078526306,0.977250155781914,0.293627641103198,1.81281097771932,0.370801549164979,NA,NA,NA,NA,NA,NA
"7","MOS_7","logistic",6.08491867387194,2.74852373405043,13.4713172780469,3.18540818676883e-06,"***",1.80581336133324,0.405491847833372,-2.9366699742615,0.596592452008444,-1.17996214933253,0.31772320922747,0.118938658411084,0.273513560833627,1.44922352876931,0.31333103239339,NA,NA,NA,NA,NA,NA
"8","MOS_8","logistic",3.1863429828524,1.52206621649832,6.67039416177986,0.00174380917485283,"**",1.15887385881747,0.376948301045968,-0.998172397660494,0.289300205474077,0.0588674016692665,0.258942421769569,1.24216950751148,0.290872120454477,2.1982019160145,0.350045231737167,NA,NA,NA,NA,NA,NA
"9","MOS_9","logistic",0.173776734202746,0.0799288931430556,0.3778152325483,4.30165964360254e-06,"***",-1.7499839404583,0.396249084644636,-1.90881637970336,0.336061963714395,-0.78616465026066,0.285125174197265,0.136416525710413,0.270351927285626,1.31962390058941,0.322534231393609,NA,NA,NA,NA,NA,NA
"10","MOS_10","logistic",0.284413416700701,0.133219985092968,0.607198623711873,0.000898428350941518,"***",-1.25732640670621,0.386959705979868,-1.21831540318281,0.295108216652615,-0.266791103170677,0.269571473984658,1.83695322373678,0.37348074894455,2.72594473726223,0.525120058519625,NA,NA,NA,NA,NA,NA
"11","MOS_11","logistic",0.316552903447359,0.144638375204971,0.69280189672311,0.0032394287209128,"**",-1.15026489987371,0.399626586038603,-0.533558054686633,0.274222017428175,0.669289686871506,0.279181595589527,2.15590439863449,0.413239567338749,2.52162276004704,0.476380537787539,NA,NA,NA,NA,NA,NA
"12","MOS_12","logistic",0.522895764158753,0.255280948144384,1.0710551733791,0.0746920125529751,"",-0.648373138492592,0.365831948978242,-1.88548027724143,0.328804173764705,-0.851608055577427,0.275750987185561,0.527005792452344,0.272690910204263,2.0223722203837,0.37882028080321,NA,NA,NA,NA,NA,NA
"13","MOS_13","logistic",0.299338742078047,0.130524192055559,0.686490995253409,0.00332586708611155,"**",-1.20617943020824,0.423485975254052,-0.16036340164758,0.271764864820774,0.897237225714043,0.291444367137302,1.85851114647464,0.375199314625951,3.04085837184995,0.600286146068754,NA,NA,NA,NA,NA,NA
"14","MOS_14","logistic",1.20473391673756,0.594895175519123,2.4397303421923,0.604742574184396,"",0.18625872657375,0.36002130482755,-1.47814180919257,0.310500853166313,-0.504469062757831,0.264827995166093,0.583384196197044,0.264032661677481,1.57745360508828,0.310197823676185,NA,NA,NA,NA,NA,NA
"15","MOS_15","logistic",0.931664972001463,0.461486040074848,1.88087947343696,0.843448194650805,"",-0.0707820010235638,0.358435909557433,-1.66841975196765,0.324221991036805,-0.758378951440178,0.277499402072467,0.12911387151479,0.267649030216387,1.45777382769109,0.311869245903157,NA,NA,NA,NA,NA,NA
"16","MOS_16","logistic",0.969364669724335,0.474826502568069,1.97897096692715,0.931900777425369,"",-0.0311144017432312,0.364134955186965,-0.558290884017186,0.270946571392433,0.485382039930584,0.2691481131441,1.22526139652595,0.294981340878017,2.16037655341124,0.373530366833681,NA,NA,NA,NA,NA,NA
"17","MOS_17","logistic",0.688505923393219,0.337963962259245,1.40263595970011,0.302969357376553,"",-0.373231357519689,0.363060065292765,-0.81312076762816,0.276428523108119,-0.178298649564042,0.266301933959567,0.458242280574128,0.270718415481509,1.46930388021137,0.315162637722123,NA,NA,NA,NA,NA,NA
"18","MOS_18","logistic",9.56061511706271,4.11472518213428,22.2142080869655,2.01506475344064e-08,"***",2.25765206778239,0.430150771620374,-1.23517269946133,0.321636338633177,-0.300472829355853,0.276073424623436,0.548706480624596,0.284452872243761,1.47949705331372,0.324085553200889,NA,NA,NA,NA,NA,NA
"19","MOS_19","logistic",5.39091957553586,1.83628616579537,15.8265168094362,0.00107920586782345,"**",1.68471597807516,0.549485012374916,-2.60891361079931,0.60556941307632,-1.12823020952311,0.362972982257288,-0.053226752486772,0.319674928938654,0.239146412031031,0.321956538981843,NA,NA,NA,NA,NA,NA
"20","MOS_20","logistic",1.61583572204201,0.783802921636081,3.33109893897445,0.192642618144008,"",0.479852297779244,0.369113906776729,-0.206538686424285,0.261843383278045,0.722156321166177,0.272350832403795,1.30480197836176,0.296807797375518,1.87342933065072,0.333591157576935,NA,NA,NA,NA,NA,NA
"21","MOS_21","logistic",2.37607419422785,1.15042409183419,4.90751942396668,0.018174551563331,"*",0.865449627539732,0.370067502953514,-1.53100919078455,0.32997435055263,-0.22652897191529,0.261046194033399,0.865436372411905,0.26453909074784,1.83390064184038,0.316742219412001,NA,NA,NA,NA,NA,NA
"22","MOS_22","logistic",5.84770911585452,2.49375806899791,13.7125177974418,2.14758248320551e-05,"***",1.76604998041941,0.434834083586605,1.23976816681979,0.325993402986627,1.55074710750454,0.340417262678305,2.62826149476313,0.4064705413271,5.75304135968255,1.05932050907395,NA,NA,NA,NA,NA,NA
"23","MOS_23","logistic",1.78619254459189,0.872639318425192,3.65613116323174,0.110949455836237,"",0.580086284365695,0.36547571812053,-1.43624212998395,0.323484863033671,-1.07406845373012,0.302373689911786,-0.66321758961322,0.289131052600555,0.212626924701972,0.285183078288507,1.18009605495045,0.306423843523721,3.77017231389195,0.624838716342984,NA,NA
"24","MOS_24","logistic",18.561113931407,7.42292241433852,46.4123065208368,3.25188622499562e-12,"***",2.92106874341303,0.467608545169277,-1.93417388308524,0.406243691289234,-0.916910226579248,0.299241794257479,-0.165911752997821,0.272549513044548,0.640591838415135,0.287195932529138,1.19387122771034,0.318249450401923,1.60548287682075,0.345265302649406,3.29892358949728,0.45139989890602
